stato,inizio,fine,sindacati,settore,categoria,modalita,rilevanza,note,data_proclamazione,regione,provincia,data_ricezione,inizio_iso,fine_iso
Effettuato,14/01/2022,14/01/2022,OSR FAISA-CISAL/ORSA TPL,Trasporto pubblico locale,PERSONALE SOC. ANM DI NAPOLI,4 ORE: DALLE 9.00 ALLE 13.00,Locale,null,29/12/2021,Campania,Napoli,29/12/2021 17:31,2022-01-14,2022-01-14
"Revocato (include le azioni di revoca, sospensione e differimento)",14/01/2022,14/01/2022,OSR FILT-CGIL/FIT-CISL,Trasporto pubblico locale,PERSONALE DIPENDENTE AZIENDE TRASPORTO PUBBLICO LOCALE REGIONE BASILICATA,8 ORE VARIE MODALITA',Regionale,null,14/12/2021,Basilicata,Tutte,14/12/2021 11:24,2022-01-14,2022-01-14
Effettuato,14/01/2022,14/01/2022,OSR FILT-CGIL/UILT-UIL/UGL AUTOFERRO,Trasporto pubblico locale,PERSONALE SOC. ANM DI NAPOLI,4 ORE: DALLE 09.00 ALLE 13.00,Locale,null,29/12/2021,Campania,Napoli,29/12/2021 11:15,2022-01-14,2022-01-14
Effettuato,14/01/2022,14/01/2022,OSR FIT-CISL,Trasporto pubblico locale,PERSONALE SOC. SEGESTA AUTOLINEE DI PALERMO,8 ORE: 09.30-13.30 E 16.30-20.30,Locale,ADESIONE OSR FAISA-CISAL,07/12/2021,Sicilia,Palermo,07/12/2021 11:05,2022-01-14,2022-01-14
Effettuato,14/01/2022,14/01/2022,OSR FIT-CISL,Trasporto pubblico locale,PERSONALE SOC. ETNA TRASPORTI DI CATANIA,4 ORE: DALLE 9.30 ALLE 13.30,Locale,null,07/12/2021,Sicilia,Catania,07/12/2021 11:22,2022-01-14,2022-01-14
Effettuato,14/01/2022,14/01/2022,OST FILT-CGIL/FIT-CISL/FAISA-CISAL/CONFAIL/CILDI,Trasporto pubblico locale,PERSONALE DELLA SOC. AMTAB DI BARI,4 ORE: DALLE 8.30 ALLE 12.30,Locale,CONFLUISCE IN CONCENTRAZIONE ALLO SCIOPERO NAZIONALE TPL,29/12/2021,Puglia,Bari,29/12/2021 12:32,2022-01-14,2022-01-14
Effettuato,14/01/2022,14/01/2022,OST FILT-CGIL/FIT-CISL/UILT-UIL/FAISA-CISAL/UGL,Trasporto pubblico locale,PERSONALE SOC. STP DI BARI,4 ORE: DALLE 8.30 ALLE 12.30,Locale,CONFLUISCE IN CONCENTRAZIONE ALLO SCIOPERO NAZIONALE TPL,29/12/2021,Puglia,Bari,29/12/2021 12:35,2022-01-14,2022-01-14
"Revocato (include le azioni di revoca, sospensione e differimento)",12/01/2022,12/01/2022,FILT-CGIL/FIT-CISL/UILT-UIL/UGL-TA,Aereo,PERSONALE DI TERRA SOC. THAI AIRWAYS INTERNATIONAL,4 ORE: DALLE 10.00 ALLE 14.00,Nazionale,null,31/12/2021,Italia,Tutte,31/12/2021 17:20,2022-01-12,2022-01-12
Effettuato,11/01/2022,11/01/2022,OSR FAISA-CISAL/UGL-FNA,Trasporto pubblico locale,PERSONALE SOC. LIROSI AUTOSERVIZI DI GIOIA TAURO (RC),24 ORE,Territoriale,null,07/12/2021,Calabria,Reggio Calabria,07/12/2021 05:48,2022-01-11,2022-01-11
Effettuato,11/01/2022,11/01/2022,OSR USB LAVORO PRIVATO,Trasporto pubblico locale,PERSONALE SOC. MOVIBUS DI S. VITTORE OLONA (MI),4 ORE: DALLE 16.00 ALLE 20.00,Locale,null,03/12/2021,Lombardia,Milano,03/12/2021 18:28,2022-01-11,2022-01-11
Effettuato,11/01/2022,12/01/2022,OST UILT-UIL,Marittimo,PERSONALE SOC. COMET OPERANTE PRESSO IL PORTO (APPRODI) DI TREMESTIERI (ME),24 ORE: DALLE 12.00 DEL 11/1 ALLE 11.59 DEL 12/1,Locale,null,29/12/2021,Sicilia,Messina,29/12/2021 16:27,2022-01-11,2022-01-12
Effettuato,10/01/2022,10/01/2022,OSR FAISA-CONFAIL,Trasporto pubblico locale,PERSONALE D.C.O. LINEE EX VESUVIANA DELLA SOC. EAV DI NAPOLI,4 ORE: DALLE 18.00 ALLE 22.00,Locale,null,26/11/2021,Campania,Napoli,26/11/2021 13:15,2022-01-10,2022-01-10
"Revocato (include le azioni di revoca, sospensione e differimento)",10/01/2022,10/01/2022,OSR FILT-CGIL/UILT-UIL/UGL AUTOFERRO,Trasporto pubblico locale,PERSONALE SOC. ANM DI NAPOLI,4 ORE: DALLE 11.30 ALLE 15.30,Locale,null,15/12/2021,Campania,Napoli,15/12/2021 18:09,2022-01-10,2022-01-10
"Revocato (include le azioni di revoca, sospensione e differimento)",10/01/2022,10/01/2022,OST FILT-CGIL/FIT-CISL/FAISA-CISAL/CONFAIL/CILDI,Trasporto pubblico locale,PERSONALE DELLA SOC. AMTAB DI BARI,4 ORE: DALLE 8.30 ALLE 12.30,Locale,null,13/12/2021,Puglia,Bari,13/12/2021 20:44,2022-01-10,2022-01-10
"Revocato (include le azioni di revoca, sospensione e differimento)",10/01/2022,10/01/2022,OST FILT-CGIL/FIT-CISL/UILT-UIL/FAISA-CISAL/UGL,Trasporto pubblico locale,PERSONALE SOC. STP DI BARI,4 ORE: DALLE 8.30 ALLE 12.30,Locale,null,17/11/2021,Puglia,Bari,18/11/2021 10:06,2022-01-10,2022-01-10
Effettuato,09/01/2022,10/01/2022,OSR FILT-CGIL/UGL FERROVIERI/ORSA FERROVIE,Ferroviario,PERSONALE DI MACCHINA E DI BORDO SOC. TRENITALIA DIVISIONE PASSEGGERI REGIONALE LIGURIA,23 ORE: DALLE 03.31 DEL 9/1 ALLE 02.30 DEL 10/1,Regionale,null,02/12/2021,Liguria,Tutte,02/12/2021 11:53,2022-01-09,2022-01-10
Effettuato,08/01/2022,08/01/2022,OSR ORSA FERROVIE,Ferroviario,PERSONALE MOBILE SOC. TRENITALIA DIVISIONE TRASPORTO REGIONALE PUGLIA,8 ORE: DALLE 09.01 ALLE 16.59,Regionale,null,27/12/2021,Puglia,Tutte,27/12/2021 18:08,2022-01-08,2022-01-08
Effettuato,08/01/2022,08/01/2022,UGL FERROVIERI/ORSA FERROVIE,Ferroviario,PERSONALE SOC. TRENITALIA,8 ORE: DALLE 9.00 ALLE 17.00,Nazionale,ESCLUSA REGIONE LIGURIA,15/12/2021,Italia,Tutte,15/12/2021 22:14,2022-01-08,2022-01-08
Effettuato,05/01/2022,05/01/2022,SLAI PROL COBAS,Trasporto merci,PERSONALE DI MAGAZZINO CONSORZIO LHS - PENTA SERVICE APPALTO PRESSO AMA CRAI EST DI MONTEBELLUNA (TV),24 ORE: DALLE 00.00 ALLE 24.00,Territoriale,null,24/12/2021,Veneto,Treviso,24/12/2021 18:34,2022-01-05,2022-01-05
Effettuato,03/01/2022,03/01/2022,OST FILT-CGIL/FIT-CISL/UILT-UIL/SLA-CISAL,Circolazione e sicurezza stradale,PERSONALE OPERATORI DEI CENTRI SERVIZI  DELLA SOC. AUTOTRADA DEL BRENNERO,ULTIME 4 ORE PER TURNO,Regionale,null,20/12/2021,Trentino-Alto Adige,Tutte,20/12/2021 11:05,2022-01-03,2022-01-03
Effettuato,02/01/2022,02/01/2022,OST FILT-CGIL/FIT-CISL/UILT-UIL/SLA-CISAL,Circolazione e sicurezza stradale,"PERSONALE DI ESAZIONE, GESTORI DI TRATTA E CORRIERI DELLA SOC. AUTOTRADA DEL BRENNERO",4 ORE PER TURNO,Regionale,null,20/12/2021,Trentino-Alto Adige,Tutte,20/12/2021 11:05,2022-01-02,2022-01-02
